relative_time,LinearAccelerometerSensor,AccX,AccY,AccZ
4955,,7.0341644287109375,,-1.2449848651885986
4987,,,0.6248866319656372,
4988,3.0221761590900464,7.048529624938965,,-1.072602391242981
4994,,,0.9313444495201111,
4995,2.3715759490895088,8.034940719604492,,-0.9983820915222168
5014,1.9978720550276732,,1.2761094570159912,
5015,,9.569623947143555,,-0.8523358106613159
5034,2.8867577329488934,10.532093048095703,1.8555063009262085,0.05027823522686958
5054,2.928028664485098,,1.6639702320098877,
5055,,10.654197692871094,,0.5386953949928284
5074,2.479478917907088,10.491392135620117,0.8762778043746948,0.8882488012313843
5094,2.5996823777080578,,0.24420857429504395,
5095,,10.836156845092773,,1.3287819623947144
5114,,,0.12449848651885986,
5115,2.5361597928568234,10.649409294128418,,1.5131354331970215
5134,3.368306056054862,,-0.24181437492370605,2.389413356781006
5135,,11.15697956085205,,
5154,,,-0.6440402865409851,
5155,3.813548584867258,11.27190113067627,,2.894589900970459
5182,2.0604131139937407,10.529699325561523,-0.24660277366638184,1.3910311460494995
5193,,,0.48602294921875,
5195,4.315624929285843,11.681309700012207,,-4.352658748626709
5214,6.480227106612197,15.272612571716309,0.9672574996948242,-3.8546648025512695
5233,,,2.8778305053710938,
5234,6.306051756632213,15.179238319396973,,-2.1715409755706787
5253,,,3.141192674636841,
5254,5.116931798239256,11.051634788513184,,-4.532223701477051
5273,,,1.699883222579956,
5274,4.839526691781322,9.526528358459473,,-5.193023681640625
5293,2.6814843206564287,9.825803756713867,-0.35913026332855225,-3.0861260890960693
5313,,,-3.1028854846954346,
5314,3.6543592471126876,10.156203269958496,,-0.751779317855835
5332,,,-4.525041103363037,
5333,5.194648321619351,,,
5334,,9.01895809173584,,0.8355764150619507
5353,,,-2.6144683361053467,
5354,3.2029929529279872,8.506598472595215,,-0.7326257228851318
5372,,,0.21308395266532898,
5373,1.8529337380631257,8.279149055480957,,-1.5658079385757446
5393,2.6051636478618985,7.960720539093018,1.7621324062347412,-1.3455413579940796
5412,,,1.723825216293335,
5413,2.9921777789802113,7.393294811248779,,-1.1492167711257935
5432,,,0.3687070608139038,
5433,3.0229994976561922,6.821080684661865,,-1.1037269830703735
5452,3.3853035932388686,,-1.5490485429763794,
5453,,6.660669326782227,,-0.6967126727104187
5472,,,-1.7717092037200928,
5473,2.9554182564084734,7.168240070343018,,-0.8595184087753296
5492,2.1193989257901933,7.781155586242676,-1.1252747774124146,-0.3926490843296051
5512,1.6615355741748827,8.2312650680542,-0.3471592366695404,-0.22266076505184174
5531,,,-0.47405192255973816,
5532,1.6123324137105337,8.31985092163086,,-0.15083470940589905
5551,,,-1.4508862495422363,
5552,2.2315066406370003,8.322244644165039,,0.5650315880775452
5572,2.7155964418584326,8.834604263305664,-1.5203180313110352,1.4939818382263184
5591,,,-0.689530074596405,
5592,2.2030803053630756,9.758766174316406,,1.381454348564148
5611,,,-0.8188169598579407,
5612,1.898951896395701,10.316615104675293,,1.0438719987869263
5631,,,-1.5682021379470825,
5632,2.1089032811306967,10.54645824432373,,1.0007762908935547
5651,,,-1.3886369466781616,
5652,2.4968766729280025,11.51611042022705,,0.9983820915222168
5671,,,-0.689530074596405,
5672,3.847450026199374,12.009315490722656,,2.58813214302063
5691,,,-0.2801215946674347,
5692,4.196145314219573,11.985373497009277,,3.066972494125366
5710,,,-1.3000515699386597,
5711,3.8485291086399265,11.78665542602539,,2.894589900970459
5730,,,-3.136404275894165,
5731,4.946629449819175,13.840880393981934,,-2.0398597717285156
5750,,,-4.716577529907227,
5751,7.9928268221656635,15.356410026550293,,-4.687847137451172
5771,3.6840609014573813,11.741165161132812,-1.1540051698684692,-3.361459255218506
5790,,,-0.6033388376235962,
5791,2.33040410053483,8.712499618530273,,-2.1811177730560303
5811,3.9664206089242997,9.244012832641602,-1.039083480834961,-4.062960147857666
5830,,,-1.1348515748977661,
5831,4.631344747668104,11.367670059204102,,-4.393360137939453
5850,3.228389786000377,11.66455078125,-0.021547814831137657,-2.032677173614502
5870,,,0.4620809257030487,
5871,2.15628593525451,9.859322547912598,,-0.6009446382522583
5890,1.9797498613394346,,-0.33997663855552673,
5891,,8.288725852966309,,-0.9385270476341248
5910,2.077901154128691,7.6997528076171875,-1.3646949529647827,-0.7924807667732239
5930,1.8050372953075435,,-1.9345149993896484,
5931,,8.04930591583252,,-0.24660277366638184
5949,,,-1.5322890281677246,
5950,1.6777424040525646,8.101978302001953,,-0.5626373887062073
5969,,,-0.3974374830722809,
5970,2.0579572413815446,7.82185697555542,,-0.8307880163192749
5989,,,0.4189853072166443,
5990,2.8513310586728338,7.247248649597168,,-0.5746083855628967
6010,3.2949712237431465,6.907271862030029,0.8068459630012512,-0.5051765441894531
6048,,,0.2106897532939911,
6050,2.0077645262690385,8.281543731689453,,0.35434186458587646
6088,1.672932370667563,9.141061782836914,0.16759411990642548,0.6536170840263367
6269,5.707776490313798,7.728483200073242,-1.0678139925003052,4.788403511047363
6308,,,4.402936935424805,
6309,11.308931746891895,17.362751007080078,,-7.395689010620117
